Log,Label
143 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.19.102:54106 dest: /10.250.19.102:50010,Normal
35 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar.,Normal
143 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.10.6:40524 dest: /10.250.10.6:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.14.224:42420 dest: /10.250.14.224:50010,Normal
145 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block  terminating,Normal
145 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block  terminating,Normal
145 INFO dfs.DataNode$PacketResponder: Received block  of size 91178 from /10.250.10.6,Normal
145 INFO dfs.DataNode$PacketResponder: Received block  of size 91178 from /10.250.19.102,Normal
147 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block  terminating,Normal
147 INFO dfs.DataNode$PacketResponder: Received block  of size 91178 from /10.250.14.224,Normal
29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to  size 91178,Normal
30 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to  size 91178,Normal
31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to  size 91178,Normal
142 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:55695 dest: /10.251.215.16:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.19.102:34232 dest: /10.250.19.102:50010,Normal
26 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split.,Normal
143 INFO dfs.DataNode$DataXceiver: Received block  src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,Normal
143 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:52002 dest: /10.251.215.16:50010,Normal
144 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.71.16:51590 dest: /10.251.71.16:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.19.102:39325 dest: /10.250.19.102:50010,Anomaly
145 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block  terminating,Normal
145 INFO dfs.DataNode$PacketResponder: Received block  of size 233217 from /10.251.215.16,Normal
146 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block  terminating,Normal
146 INFO dfs.DataNode$PacketResponder: Received block  of size 233217 from /10.251.71.16,Normal
147 INFO dfs.DataNode$DataTransfer: 10.250.14.224:50010:Transmitted block  to /10.251.215.16:50010,Normal
147 INFO dfs.DataNode$DataXceiver: Received block  src: /10.250.14.224:35754 dest: /10.250.14.224:50010 of size 91178,Normal
147 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.14.224:35754 dest: /10.250.14.224:50010,Normal
148 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block  terminating,Normal
148 INFO dfs.DataNode$PacketResponder: Received block  of size 233217 from /10.250.19.102,Normal
"19 INFO dfs.DataNode: 10.250.14.224:50010 Starting thread to transfer block  to 10.251.215.16:50010, 10.251.71.193:50010",Normal
19 INFO dfs.FSNamesystem: BLOCK* ask 10.250.14.224:50010 to replicate  to datanode(s) 10.251.215.16:50010 10.251.71.193:50010,Normal
27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.10:50010 is added to  size 233217,Normal
29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.xml.,Anomaly
30 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.193:50010 is added to  size 91178,Normal
33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to  size 233217,Normal
34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to  size 91178,Normal
35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.16:50010 is added to  size 233217,Normal
144 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.197.226:60229 dest: /10.251.197.226:50010,Anomaly
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.11.100:54800 dest: /10.250.11.100:50010,Anomaly
147 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block  terminating,Anomaly
147 INFO dfs.DataNode$PacketResponder: Received block  of size 11971 from /10.250.19.102,Anomaly
143 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.19.102:37673 dest: /10.250.19.102:50010,Normal
146 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block  terminating,Anomaly
146 INFO dfs.DataNode$PacketResponder: Received block  of size 11971 from /10.251.197.226,Anomaly
147 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block  terminating,Anomaly
147 INFO dfs.DataNode$PacketResponder: Received block  of size 11971 from /10.250.11.100,Anomaly
148 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.250.19.102,Anomaly
149 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.250.19.102,Normal
28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_logs/history/ip-10-250-19-102.ec2.internal_1226291400491_job_200811092030_0001_conf.xml.,Normal
29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.179:50010 is added to  size 11971,Anomaly
33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.100:50010 is added to  size 11971,Anomaly
33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to  size 11971,Anomaly
143 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.14.196:39576 dest: /10.250.14.196:50010,Normal
144 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.7.244:39735 dest: /10.250.7.244:50010,Normal
145 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block  terminating,Normal
145 INFO dfs.DataNode$PacketResponder: Received block  of size 11977 from /10.250.19.102,Normal
146 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block  terminating,Normal
146 INFO dfs.DataNode$PacketResponder: Received block  of size 11977 from /10.250.14.196,Normal
147 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block  terminating,Normal
147 INFO dfs.DataNode$PacketResponder: Received block  of size 11977 from /10.250.7.244,Normal
19 INFO dfs.FSNamesystem: BLOCK* ask 10.251.215.16:50010 to replicate  to datanode(s) 10.251.74.79:50010 10.251.107.19:50010,Normal
27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to  size 11977,Normal
34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to  size 11977,Normal
35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.196:50010 is added to  size 11977,Normal
150 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.250.19.102,Normal
146 INFO dfs.DataNode$DataXceiver: Received block  src: /10.251.215.16:51177 dest: /10.251.215.16:50010 of size 91178,Normal
146 INFO dfs.DataNode$DataXceiver: Received block  src: /10.251.74.79:60333 dest: /10.251.74.79:50010 of size 91178,Normal
146 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:51177 dest: /10.251.215.16:50010,Normal
146 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.74.79:60333 dest: /10.251.74.79:50010,Normal
149 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.250.18.114,Anomaly
150 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.199.225,Anomaly
151 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.30.85,Anomaly
152 INFO dfs.DataNode$DataTransfer: 10.251.215.16:50010:Transmitted block  to /10.251.74.79:50010,Normal
"19 INFO dfs.DataNode: 10.251.215.16:50010 Starting thread to transfer block  to 10.251.74.79:50010, 10.251.107.19:50010",Normal
28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to  size 91178,Normal
29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to  size 91178,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.31.5:53020 dest: /10.251.31.5:50010,Normal
147 INFO dfs.DataNode$DataXceiver: Received block  src: /10.251.107.19:56341 dest: /10.251.107.19:50010 of size 91178,Normal
147 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.107.19:56341 dest: /10.251.107.19:50010,Normal
148 INFO dfs.DataNode$DataTransfer: 10.251.107.19:50010:Transmitted block  to /10.251.31.5:50010,Normal
149 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.250.18.114,Normal
150 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.203.149,Normal
150 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.31.5,Anomaly
150 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.31.5,Normal
150 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.203.129,Anomaly
151 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.125.193,Normal
151 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.250.19.16,Anomaly
151 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.30.134,Normal
151 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.127.243,Anomaly
152 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.65.203,Normal
152 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.125.193,Anomaly
152 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.127.191,Normal
152 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.111.209,Normal
152 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.127.191,Anomaly
152 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.203.149,Anomaly
153 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.30.179,Anomaly
153 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.250.17.225,Anomaly
153 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.215.16,Normal
153 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.30.134,Anomaly
154 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.74.192,Anomaly
154 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.203.4,Anomaly
154 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.250.19.227,Normal
155 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.250.19.227,Anomaly
155 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.215.16,Anomaly
156 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.65.203,Anomaly
156 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.250.17.177,Anomaly
157 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.66.63,Anomaly
157 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.201.204,Anomaly
158 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.126.5,Anomaly
158 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.126.83,Anomaly
159 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.126.255,Anomaly
160 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.125.237,Anomaly
161 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.203.246,Anomaly
162 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.111.209,Anomaly
